Fecha,Local,Visitante,Goles_Local,Goles_Visitante,Resultado,Fecha_Partido,Racha_Local,Racha_Visita
2024-01-27,Boca Juniors,Platense,0,0,E,0,0,0
2024-01-28,River Plate,Argentinos Juniors,1,1,E,1,0,0
2024-01-27,Racing Club,Unión,0,1,V,2,0,0
2024-01-26,Independiente,Independiente Rivadavia,1,0,L,3,0,0
2024-01-27,San Lorenzo,Lanús,0,2,V,4,0,0
2024-02-01,Boca Juniors,Sarmiento,1,1,E,5,1,0
2024-01-31,River Plate,Barracas Central,2,0,L,6,1,0
2024-01-31,Racing Club,Tigre,3,0,L,7,0,0
2024-01-30,Independiente,Gimnasia LP,0,1,V,8,3,0
2024-02-05,Boca Juniors,Tigre,2,0,L,9,2,0
2024-02-04,River Plate,Vélez Sarsfield,5,0,L,10,4,0
2024-02-05,Racing Club,Estudiantes LP,0,0,E,11,3,0
2024-02-08,Independiente,Huracán,0,0,E,12,3,0
2024-02-10,Boca Juniors,Defensa y Justicia,0,0,E,13,5,0
2024-02-11,River Plate,Riestra,3,0,L,14,7,0
2024-02-09,Racing Club,San Lorenzo,4,1,L,15,4,0
2024-02-13,Independiente,Rosario Central,1,0,L,16,4,0
2024-02-14,Boca Juniors,Central Córdoba,2,0,L,17,6,0
2024-02-14,River Plate,Atlético Tucumán,0,0,E,18,10,0
2024-02-18,Boca Juniors,Lanús,1,2,V,19,9,3
2024-02-18,River Plate,Banfield,1,1,E,20,11,0
2024-02-25,River Plate,Boca Juniors,1,1,E,21,11,8
2024-02-24,Independiente,Racing Club,0,1,V,22,7,7
