Equipo,Jugador,Valor_Millones,Estado
CA River Plate,Santiago Beltrán,9.0,Disponible
CA River Plate,Ezequiel Centurión,1.5,Disponible
CA River Plate,Lautaro Rivero,7.0,Disponible
CA River Plate,Lucas Martínez Quarta,4.5,Disponible
CA River Plate,Tobías Ramírez,3.5,Lesionado
CA River Plate,Juan Carlos Portillo,3.2,Lesionado
CA River Plate,Nicolás Otamendi,1.0,Disponible
CA River Plate,Germán Pezzella,0.5,Disponible
CA River Plate,Ulises Giménez,0.0,Disponible
CA River Plate,Matías Viña,3.5,Disponible
CA River Plate,Marcos Acuña,1.0,Disponible
CA River Plate,Gonzalo Montiel,4.5,Disponible
CA River Plate,Fabricio Bustos,2.0,Disponible
CA River Plate,Giovanni González,2.0,Disponible
CA River Plate,Aníbal Moreno,8.0,Disponible
CA River Plate,Kevin Castaño,5.0,Disponible
CA River Plate,Fausto Vera,4.5,Disponible
CA River Plate,Lucas Silva,0.3,Disponible
CA River Plate,Mauro Arambarri,8.0,Disponible
CA River Plate,Matías Galarza,4.0,Disponible
CA River Plate,Giuliano Galoppo,3.5,Disponible
CA River Plate,Lautaro Pereyra,0.175,Disponible
CA River Plate,Kendry Páez,8.0,Disponible
CA River Plate,Tomás Galván,4.0,Disponible
CA River Plate,Santiago Lencina,2.0,Disponible
CA River Plate,Juan Cruz Meza,1.8,Disponible
CA River Plate,Ian Subiabre,3.5,Disponible
CA River Plate,Ángel Correa,8.0,Disponible
CA River Plate,Lucas Beltrán,8.0,Disponible
CA River Plate,Facundo Colidio,5.0,Disponible
CA River Plate,Maximiliano Salas,4.5,Disponible
CA River Plate,Sebastián Driussi,4.5,Lesionado
CA River Plate,Rafael Santos Borré,3.5,Disponible
CA River Plate,Agustín Ruberto,1.7,Lesionado
CA River Plate,Joaquín Freitas,1.0,Disponible
CA Boca Juniors,Álvaro Montero,2.5,Disponible
CA Boca Juniors,Leandro Brey,1.5,Disponible
CA Boca Juniors,Agustín Marchesín,0.5,Lesionado
CA Boca Juniors,Javier García,0.025,Disponible
CA Boca Juniors,Lautaro Di Lollo,7.0,Disponible
CA Boca Juniors,Ayrton Costa,5.0,Disponible
CA Boca Juniors,Marco Pellegrino,3.5,Disponible
CA Boca Juniors,Nicolás Figal,0.25,Disponible
CA Boca Juniors,Agustín Heredia,0.075,Disponible
CA Boca Juniors,Lautaro Blanco,4.0,Disponible
CA Boca Juniors,Malcom Braida,2.5,Disponible
CA Boca Juniors,Marcelo Saracchi,2.0,Disponible
CA Boca Juniors,Leandro Lozano,4.0,Disponible
CA Boca Juniors,Juan Barinaga,2.8,Disponible
CA Boca Juniors,Marcelo Weigandt,1.7,Disponible
CA Boca Juniors,Milton Delgado,10.0,Disponible
CA Boca Juniors,Santiago Ascacíbar,5.5,Disponible
CA Boca Juniors,Leandro Paredes,5.0,Disponible
CA Boca Juniors,Tomás Belmonte,3.0,Disponible
CA Boca Juniors,Mauricio Benítez,2.5,Disponible
CA Boca Juniors,Rodrigo Battaglia,0.5,Disponible
CA Boca Juniors,Camilo Rey Domenech,0.4,Disponible
CA Boca Juniors,Williams Alarcón,3.0,Disponible
CA Boca Juniors,Juan Ramírez,0.15,Disponible
CA Boca Juniors,Tomás Aranda,9.0,Disponible
CA Boca Juniors,Carlos Palacios,3.0,Disponible
CA Boca Juniors,Sebastián Villa,6.0,Disponible
CA Boca Juniors,Kevin Zenón,3.5,Disponible
CA Boca Juniors,Alan Velasco,2.8,Disponible
CA Boca Juniors,Exequiel Zeballos,7.0,Disponible
CA Boca Juniors,Ángel Romero,0.6,Disponible
CA Boca Juniors,Gonzalo Gelini,0.25,Disponible
CA Boca Juniors,Iker Zufiaurre,0.2,Disponible
CA Boca Juniors,Miguel Merentiel,4.5,Disponible
CA Boca Juniors,Adam Bareiro,4.0,Disponible
CA Boca Juniors,Milton Giménez,2.5,Lesionado
Racing Club,Facundo Cambeses,5.0,Disponible
Racing Club,Matías Tagliamonte,1.5,Disponible
Racing Club,Francisco Gómez,0.0,Disponible
Racing Club,Marco Di Césare,6.0,Disponible
Racing Club,Nazareno Colombo,2.8,Disponible
Racing Club,Agustín García Basso,0.3,Disponible
Racing Club,Marcos Rojo,0.125,Disponible
Racing Club,Gonzalo Escudero,0.05,Disponible
Racing Club,Alfonso Espino,0.9,Disponible
Racing Club,Gastón Martirena,4.0,Disponible
Racing Club,Ezequiel Cannavo,3.0,Disponible
Racing Club,Tobías Rubio,0.3,Disponible
Racing Club,Santiago Sosa,8.0,Disponible
Racing Club,Ulises Ortegoza,1.8,Disponible
Racing Club,Matías Kranevitter,0.6,Disponible
Racing Club,Alan Forneris,0.6,Disponible
Racing Club,Ignacio Rodríguez,1.0,Disponible
Racing Club,Valentín Carboni,7.5,Lesionado
Racing Club,Matko Miljevic,4.0,Disponible
Racing Club,Baltasar Rodríguez,4.0,Disponible
Racing Club,Matías Zaracho,3.5,Disponible
Racing Club,Adrián Fernández,0.7,Disponible
Racing Club,Gonzalo Sosa,0.15,Disponible
Racing Club,Tomás Conechny,2.5,Disponible
Racing Club,Duván Vergara,2.3,Disponible
Racing Club,Santiago Solari,3.2,Disponible
Racing Club,Adrián Martínez,2.8,Disponible
Racing Club,Damián Pizarro,2.0,Disponible
Racing Club,Lautaro Díaz,1.5,Disponible
Racing Club,Elías Torres,1.0,Disponible
Racing Club,Tomás Pérez,0.3,Disponible
CA Rosario Central,Conan Ledesma,1.5,Disponible
CA Rosario Central,Axel Werner,0.4,Disponible
CA Rosario Central,Damián Fernández,0.0,Disponible
CA Rosario Central,Ignacio Ovando,6.0,Disponible
CA Rosario Central,Gastón Ávila,3.5,Disponible
CA Rosario Central,Juan Giménez,2.0,Lesionado
CA Rosario Central,Facundo Mallo,1.0,Disponible
CA Rosario Central,Sebastián Zaracho,0.6,Disponible
CA Rosario Central,Juan Cruz Komar,0.5,Disponible
CA Rosario Central,Luca Raffin,0.15,Disponible
CA Rosario Central,Agustín Sández,2.5,Disponible
CA Rosario Central,Alexis Soto,1.2,Disponible
CA Rosario Central,Emanuel Coronel,2.7,Disponible
CA Rosario Central,Ulises Ciccioli,0.6,Disponible
CA Rosario Central,Franco Ibarra,6.0,Disponible
CA Rosario Central,Vicente Pizarro,4.5,Disponible
CA Rosario Central,Federico Navarro,2.0,Disponible
CA Rosario Central,Pol Fernández,0.35,Disponible
CA Rosario Central,Santiago Segovia,0.225,Disponible
CA Rosario Central,Jáminton Campaz,5.5,Disponible
CA Rosario Central,Giovanni Cantizano,1.0,Disponible
CA Rosario Central,Franco Cervi,0.6,Disponible
CA Rosario Central,Julián Fernández,3.8,Disponible
CA Rosario Central,Ángel Di María,1.8,Disponible
CA Rosario Central,Gaspar Duarte,0.9,Disponible
CA Rosario Central,Tomás Badaloni,4.0,Disponible
CA Rosario Central,Enzo Copetti,2.5,Disponible
CA Rosario Central,Fabricio Oviedo,0.225,Disponible
CA Rosario Central,Marco Ruben,0.025,Disponible
Club Estudiantes de La Plata,Fernando Muslera,0.7,Disponible
Club Estudiantes de La Plata,Fabricio Iacovich,0.5,Disponible
Club Estudiantes de La Plata,Rodrigo Borzone,0.0,Disponible
Club Estudiantes de La Plata,Tomás Palacios,6.0,Disponible
Club Estudiantes de La Plata,Santiago Núñez,2.0,Disponible
Club Estudiantes de La Plata,Leandro González Pírez,0.35,Disponible
Club Estudiantes de La Plata,Valente Pierani,0.2,Disponible
Club Estudiantes de La Plata,Santiago Flores,0.1,Disponible
Club Estudiantes de La Plata,Ramiro Funes Mori,0.025,Disponible
Club Estudiantes de La Plata,Santiago Arzamendia,2.3,Lesionado
Club Estudiantes de La Plata,Gastón Benedetti,2.0,Disponible
Club Estudiantes de La Plata,Eros Mancuso,3.0,Disponible
Club Estudiantes de La Plata,Eric Meza,2.5,Disponible
Club Estudiantes de La Plata,Gabriel Neves,1.3,Disponible
Club Estudiantes de La Plata,Ezequiel Piovi,0.8,Disponible
Club Estudiantes de La Plata,Mikel Amondarain,3.5,Disponible
Club Estudiantes de La Plata,Alexis Castro,1.2,Disponible
Club Estudiantes de La Plata,Bautista Kociubinski,0.35,Disponible
Club Estudiantes de La Plata,Lucas Cornejo,0.0,Disponible
Club Estudiantes de La Plata,Facundo Farías,2.5,Disponible
Club Estudiantes de La Plata,José Sosa,0.05,Disponible
Club Estudiantes de La Plata,Edwuin Cetré,3.5,Disponible
Club Estudiantes de La Plata,Brian Aguirre,3.5,Disponible
Club Estudiantes de La Plata,Joaquín Tobio Burgos,1.8,Disponible
Club Estudiantes de La Plata,Alexis Manyoma,1.2,Disponible
Club Estudiantes de La Plata,Tiago Palacios,4.5,Disponible
Club Estudiantes de La Plata,Fabricio Pérez,2.0,Disponible
Club Estudiantes de La Plata,Mauro Méndez,2.5,Disponible
Club Estudiantes de La Plata,Adolfo Gaich,1.0,Disponible
Club Estudiantes de La Plata,Luciano Giménez,0.3,Disponible
Club Estudiantes de La Plata,Guido Carrillo,0.3,Disponible
Club Estudiantes de La Plata,Lucas Alario,0.25,Disponible
