Fecha,Local,Visitante,Goles_Local,Goles_Visitante,Resultado
2024-05-10,Sarmiento Junin,Instituto Cordoba,1,2,V
2024-05-11,Newells Old Boys,Platense,2,0,L
2024-05-11,Argentinos JRS,Rosario Central,3,2,L
2024-05-11,Huracan,Defensa Y Justicia,3,1,L
2024-05-11,Godoy Cruz,Barracas Central,0,1,V
2024-05-11,Independiente,Talleres Cordoba,1,3,V
2024-05-11,River Plate,Central Cordoba de Santiago,3,0,L
2024-05-12,Tigre,Estudiantes L.P.,0,1,V
2024-05-12,Deportivo Riestra,San Lorenzo,1,0,L
2024-05-12,Belgrano Cordoba,Racing Club,4,4,E
2024-05-12,Lanus,Independ. Rivadavia,0,2,V
2024-05-12,Atletico Tucuman,Boca Juniors,1,0,L
2024-05-13,Gimnasia L.P.,Velez Sarsfield,3,1,L
2024-05-14,Union Santa Fe,Banfield,1,0,L
2024-05-18,Independ. Rivadavia,Godoy Cruz,0,0,E
2024-05-18,River Plate,Belgrano Cordoba,3,0,L
2024-05-18,Defensa Y Justicia,Gimnasia L.P.,1,1,E
2024-05-18,Instituto Cordoba,Union Santa Fe,1,1,E
2024-05-19,Barracas Central,Sarmiento Junin,1,1,E
2024-05-19,Platense,Independiente,0,0,E
2024-05-19,Banfield,Huracan,1,1,E
2024-05-19,Talleres Cordoba,Atletico Tucuman,2,0,L
2024-05-19,Central Cordoba de Santiago,Boca Juniors,2,4,V
2024-05-20,Estudiantes L.P.,Deportivo Riestra,2,0,L
2024-05-20,San Lorenzo,Lanus,1,1,E
2024-05-21,Racing Club,Argentinos JRS,3,0,L
2024-05-21,Rosario Central,Tigre,1,1,E
2024-05-21,Velez Sarsfield,Newells Old Boys,1,0,L
2024-05-24,Deportivo Riestra,Rosario Central,0,2,V
2024-05-24,Tigre,Racing Club,0,4,V
2024-05-25,Belgrano Cordoba,Central Cordoba de Santiago,2,1,L
2024-05-25,Lanus,Estudiantes L.P.,2,1,L
2024-05-25,Argentinos JRS,River Plate,1,0,L
2024-05-25,Newells Old Boys,Defensa Y Justicia,1,0,L
2024-05-25,Boca Juniors,Talleres Cordoba,0,0,E
2024-05-26,Huracan,Instituto Cordoba,1,0,L
2024-05-26,Sarmiento Junin,Independ. Rivadavia,0,1,V
2024-05-26,Gimnasia L.P.,Banfield,3,0,L
2024-05-26,Independiente,Velez Sarsfield,1,1,E
2024-05-27,Union Santa Fe,Barracas Central,2,0,L
2024-05-28,Atletico Tucuman,Platense,1,1,E
2024-06-01,Racing Club,Deportivo Riestra,1,0,L
2024-06-01,Velez Sarsfield,Atletico Tucuman,1,1,E
2024-06-01,Belgrano Cordoba,Argentinos JRS,1,0,L
2024-06-02,Platense,Boca Juniors,1,0,L
2024-06-02,Rosario Central,Lanus,1,1,E
2024-06-02,Central Cordoba de Santiago,Talleres Cordoba,2,4,V
2024-06-02,River Plate,Tigre,3,1,L
2024-06-02,Instituto Cordoba,Gimnasia L.P.,2,1,L
2024-06-03,San Lorenzo,Sarmiento Junin,0,1,V
2024-06-04,Defensa Y Justicia,Independiente,0,0,E
2024-06-04,Estudiantes L.P.,Godoy Cruz,1,1,E
2024-06-04,Barracas Central,Huracan,0,2,V
2024-06-04,Banfield,Newells Old Boys,2,0,L
2024-06-04,Independ. Rivadavia,Union Santa Fe,0,1,V
2024-06-12,Godoy Cruz,Rosario Central,1,1,E
2024-06-12,Argentinos JRS,Central Cordoba de Santiago,2,1,L
2024-06-13,Gimnasia L.P.,Barracas Central,2,1,L
2024-06-13,Independiente,Banfield,2,1,L
2024-06-13,Deportivo Riestra,River Plate,2,0,L
2024-06-13,Tigre,Belgrano Cordoba,1,1,E
2024-06-13,Sarmiento Junin,Estudiantes L.P.,2,0,L
2024-06-14,Lanus,Racing Club,2,0,L
2024-06-14,Newells Old Boys,Instituto Cordoba,0,2,V
2024-06-14,Boca Juniors,Velez Sarsfield,1,0,L
2024-06-14,Talleres Cordoba,Platense,2,1,L
2024-06-15,Union Santa Fe,San Lorenzo,2,1,L
2024-06-15,Huracan,Independ. Rivadavia,1,0,L
2024-06-15,Atletico Tucuman,Defensa Y Justicia,1,1,E
2024-07-18,Argentinos JRS,Tigre,0,2,V
2024-07-18,Independ. Rivadavia,Gimnasia L.P.,1,0,L
2024-07-19,Instituto Cordoba,Independiente,3,1,L
2024-07-19,Barracas Central,Newells Old Boys,0,1,V
2024-07-19,Belgrano Cordoba,Deportivo Riestra,2,1,L
2024-07-20,Rosario Central,Sarmiento Junin,4,2,L
2024-07-20,San Lorenzo,Huracan,1,1,E
