Equipo,Puntos,PJ,PG,PE,PP,GF,GC,Victorias,Empates,Derrotas,Goles_Favor,Goles_Contra,Partidos_Jugados,Racha
Sarmiento (J),16,16,8,5,3,20,15,8,5,3,20,15,16,"G,E,G,G,P"
Dep. Riestra,10,16,8,5,3,20,15,8,5,3,20,15,16,"G,P,G,G,G"
Argentinos Juniors,34,16,8,5,3,20,15,8,5,3,20,15,16,"P,E,P,G,P"
Estudiantes (RC),8,16,8,5,3,20,15,8,5,3,20,15,16,"E,E,E,P,P"
Lanús,25,16,8,5,3,20,15,8,5,3,20,15,16,"G,G,P,P,G"
Defensa y Justicia,17,16,8,5,3,20,15,8,5,3,20,15,16,"E,E,P,E,E"
Independiente,25,16,8,5,3,20,15,8,5,3,20,15,16,"G,E,P,P,E"
Platense,14,16,8,5,3,20,15,8,5,3,20,15,16,"P,G,E,P,E"
Barracas Central,19,16,8,5,3,20,15,8,5,3,20,15,16,"E,G,G,E,E"
Aldosivi,9,16,8,5,3,20,15,8,5,3,20,15,16,"G,P,P,G,P"
Atl. Tucumán,11,16,8,5,3,20,15,8,5,3,20,15,16,"E,P,G,P,E"
Gimnasia (Mendoza),16,16,8,5,3,20,15,8,5,3,20,15,16,"P,E,G,E,P"
Boca Juniors,32,16,8,5,3,20,15,8,5,3,20,15,16,"P,E,E,E,G"
Tigre,18,16,8,5,3,20,15,8,5,3,20,15,16,"G,G,G,P,G"
Vélez Sarsfield,29,16,8,5,3,20,15,8,5,3,20,15,16,"E,P,P,G,G"
Huracán,24,16,8,5,3,20,15,8,5,3,20,15,16,"E,G,P,P,P"
Talleres (C),27,16,8,5,3,20,15,8,5,3,20,15,16,"E,P,E,G,P"
Instituto,20,16,8,5,3,20,15,8,5,3,20,15,16,"P,P,E,G,P"
Rosario Central,28,16,8,5,3,20,15,8,5,3,20,15,16,"G,G,E,G,E"
Racing Club,21,16,8,5,3,20,15,8,5,3,20,15,16,"E,P,E,G,P"
Unión,22,16,8,5,3,20,15,8,5,3,20,15,16,"E,E,E,P,E"
River Plate,31,16,8,5,3,20,15,8,5,3,20,15,16,"G,G,E,P,E"
Banfield,15,16,8,5,3,20,15,8,5,3,20,15,16,"G,P,E,G,G"
Gimnasia (LP),26,16,8,5,3,20,15,8,5,3,20,15,16,"E,E,P,E,P"
Newell's,12,16,8,5,3,20,15,8,5,3,20,15,16,"G,E,E,E,P"
Estudiantes (LP),33,16,8,5,3,20,15,8,5,3,20,15,16,"E,E,E,P,G"
Independiente Rivadavia,34,16,8,5,3,20,15,8,5,3,20,15,16,"G,P,G,G,G"
San Lorenzo,23,16,8,5,3,20,15,8,5,3,20,15,16,"G,P,G,E,P"
Belgrano,30,16,8,5,3,20,15,8,5,3,20,15,16,"G,P,E,E,P"
Central Córdoba,13,16,8,5,3,20,15,8,5,3,20,15,16,"P,E,P,E,G"
