Equipo,Puntos,PJ,PG,PE,PP,GF,GC,Victorias,Empates,Derrotas,Goles_Favor,Goles_Contra,Partidos_Jugados,Racha
Independiente Rivadavia,34,16,8,5,3,20,15,8,5,3,20,15,16,"G,P,G,G,G"
Argentinos Juniors,34,16,8,5,3,20,15,8,5,3,20,15,16,"P,E,P,G,P"
Estudiantes (LP),33,16,8,5,3,20,15,8,5,3,20,15,16,"E,E,E,P,G"
Boca Juniors,32,16,8,5,3,20,15,8,5,3,20,15,16,"P,E,E,E,G"
River Plate,31,16,8,5,3,20,15,8,5,3,20,15,16,"G,G,E,P,E"
Belgrano,30,16,8,5,3,20,15,8,5,3,20,15,16,"G,P,E,E,P"
Vélez Sarsfield,29,16,8,5,3,20,15,8,5,3,20,15,16,"E,P,P,G,G"
Rosario Central,28,16,8,5,3,20,15,8,5,3,20,15,16,"G,G,E,G,E"
Talleres (C),27,16,8,5,3,20,15,8,5,3,20,15,16,"E,P,E,G,P"
Gimnasia (LP),26,16,8,5,3,20,15,8,5,3,20,15,16,"E,E,P,E,P"
Independiente,25,16,8,5,3,20,15,8,5,3,20,15,16,"G,E,P,P,E"
Lanús,25,16,8,5,3,20,15,8,5,3,20,15,16,"G,G,P,P,G"
Huracán,24,16,8,5,3,20,15,8,5,3,20,15,16,"E,G,P,P,P"
San Lorenzo,23,16,8,5,3,20,15,8,5,3,20,15,16,"G,P,G,E,P"
Unión,22,16,8,5,3,20,15,8,5,3,20,15,16,"E,E,E,P,E"
Racing Club,21,16,8,5,3,20,15,8,5,3,20,15,16,"E,P,E,G,P"
Instituto,20,16,8,5,3,20,15,8,5,3,20,15,16,"P,P,E,G,P"
Barracas Central,19,16,8,5,3,20,15,8,5,3,20,15,16,"E,G,G,E,E"
Tigre,18,16,8,5,3,20,15,8,5,3,20,15,16,"G,G,G,P,G"
Defensa y Justicia,17,16,8,5,3,20,15,8,5,3,20,15,16,"E,E,P,E,E"
Sarmiento (J),16,16,8,5,3,20,15,8,5,3,20,15,16,"G,E,G,G,P"
Gimnasia (Mendoza),16,16,8,5,3,20,15,8,5,3,20,15,16,"P,E,G,E,P"
Banfield,15,16,8,5,3,20,15,8,5,3,20,15,16,"G,P,E,G,G"
Platense,14,16,8,5,3,20,15,8,5,3,20,15,16,"P,G,E,P,E"
Central Córdoba,13,16,8,5,3,20,15,8,5,3,20,15,16,"P,E,P,E,G"
Newell's,12,16,8,5,3,20,15,8,5,3,20,15,16,"G,E,E,E,P"
Atl. Tucumán,11,16,8,5,3,20,15,8,5,3,20,15,16,"E,P,G,P,E"
Dep. Riestra,10,16,8,5,3,20,15,8,5,3,20,15,16,"G,P,G,G,G"
Aldosivi,9,16,8,5,3,20,15,8,5,3,20,15,16,"G,P,P,G,P"
Estudiantes (RC),8,16,8,5,3,20,15,8,5,3,20,15,16,"E,E,E,P,P"
